INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,BANKNIFTY ,20/10/2022,00042500.00,PE      ,00002578.30,00002578.30,00002387.20,00002392.95,000000000001075,             2500,              100,              055,      112352671.25,        6102671.25
OPTIDX    ,BANKNIFTY ,20/10/2022,00042700.00,PE      ,00002668.00,00002668.70,00002666.15,00002667.95,000000000000150,              300,              012,              008,       13610385.00,         800385.00
OPTIDX    ,BANKNIFTY ,20/10/2022,00043300.00,PE      ,00003312.95,00003312.95,00003312.95,00003312.95,000000000000050,              050,              002,              001,        2330647.50,         165647.50
OPTIDX    ,BANKNIFTY ,20/10/2022,00043500.00,PE      ,00003550.00,00003550.00,00003550.00,00003550.00,000000000000025,              025,              001,              001,        1176250.00,          88750.00
OPTIDX    ,BANKNIFTY ,20/10/2022,00045500.00,PE      ,00005608.05,00005608.05,00005521.45,00005521.45,000000000000025,              050,              002,              002,        2553237.50,         278237.50
OPTIDX    ,BANKNIFTY ,20/10/2022,00046500.00,PE      ,00006535.10,00006535.10,00006445.95,00006445.95,000000000000050,              200,              008,              006,       10599300.00,        1299300.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00016000.00,PE      ,00000002.90,00000002.90,00000000.75,00000001.05,000000000001840,             4560,              114,              046,       72966700.00,           6700.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00016200.00,PE      ,00000001.00,00000001.00,00000001.00,00000001.00,000000000000040,              040,              001,              001,         648040.00,             40.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00016400.00,PE      ,00000002.10,00000003.00,00000000.80,00000001.20,000000000003320,            10520,              263,              216,      172549960.00,          21960.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00016500.00,PE      ,00000003.00,00000003.60,00000001.00,00000001.30,000000000016520,            82960,             2074,              623,     1369027298.00,         187298.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00016600.00,PE      ,00000003.85,00000004.15,00000001.10,00000001.40,000000000003280,            33160,              829,              534,      550550778.00,          94778.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00016700.00,PE      ,00000003.60,00000004.30,00000001.20,00000001.75,000000000003520,            34320,              858,              544,      573235458.00,          91458.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00016800.00,PE      ,00000004.75,00000005.65,00000001.55,00000001.95,000000000004160,            50800,             1270,              584,      853608412.00,         168412.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00016900.00,PE      ,00000006.00,00000006.40,00000001.85,00000002.30,000000000009800,            70200,             1755,              875,     1186631914.00,         251914.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017000.00,PE      ,00000006.20,00000007.70,00000001.55,00000002.70,000000000048800,           200680,             5017,             1890,     3412422228.00,         862228.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017050.00,PE      ,00000006.85,00000007.00,00000002.55,00000003.00,000000000002000,            17120,              428,              273,      291975454.00,          79454.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017100.00,PE      ,00000008.75,00000009.80,00000002.70,00000003.25,000000000030600,           155280,             3882,             1919,     2656112440.00,         824440.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017150.00,PE      ,00000004.00,00000008.20,00000003.45,00000003.45,000000000000320,             1040,              026,              026,       17842330.00,           6330.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017200.00,PE      ,00000010.30,00000012.10,00000003.25,00000004.00,000000000044400,           223520,             5588,             2443,     3846008302.00,        1464302.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017250.00,PE      ,00000009.90,00000012.00,00000004.00,00000004.45,000000000007680,            23920,              598,              251,      412790146.00,         170146.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017300.00,PE      ,00000016.00,00000016.00,00000003.05,00000004.80,000000000082480,           305200,             7630,             2937,     5282704792.00,        2744792.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017350.00,PE      ,00000013.00,00000015.55,00000004.00,00000005.30,000000000005240,            28480,              712,              319,      494375106.00,         247106.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017400.00,CE      ,00000750.70,00000750.70,00000750.70,00000750.70,000000000000080,              040,              001,              001,         726028.00,          30028.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017400.00,PE      ,00000014.55,00000020.90,00000003.65,00000006.10,000000000049640,           474160,            11854,             4187,     8257101030.00,        6717030.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017450.00,PE      ,00000013.85,00000024.00,00000006.50,00000007.60,000000000013240,            76960,             1924,              971,     1344088586.00,        1136586.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017500.00,CE      ,00000542.25,00000608.75,00000465.00,00000588.80,000000000003920,             9640,              241,              137,      173667202.00,        4967202.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017500.00,PE      ,00000018.80,00000029.65,00000005.70,00000009.15,000000000084320,           559320,            13983,             5416,     9798729822.00,       10629822.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017550.00,PE      ,00000030.00,00000032.00,00000009.60,00000011.70,000000000009320,            39800,              995,              504,      699114446.00,         624446.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017600.00,CE      ,00000396.05,00000512.75,00000391.05,00000504.75,000000000000400,              320,              008,              007,        5777220.00,         145220.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017600.00,PE      ,00000025.10,00000043.00,00000011.10,00000014.55,000000000038240,           358280,             8957,             4277,     6314890442.00,        9162442.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017650.00,PE      ,00000035.00,00000049.25,00000016.55,00000018.60,000000000005280,            19200,              480,              265,      339433396.00,         553396.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017700.00,CE      ,00000344.70,00000409.85,00000308.15,00000409.80,000000000000880,             2560,              064,              039,       46198084.00,         886084.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017700.00,PE      ,00000040.10,00000063.10,00000020.35,00000024.05,000000000056360,           331800,             8295,             4199,     5886102630.00,       13242630.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017750.00,CE      ,00000290.75,00000290.75,00000290.75,00000290.75,000000000000040,              040,              001,              001,         721630.00,          11630.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017750.00,PE      ,00000064.20,00000074.00,00000025.05,00000030.25,000000000004640,            23200,              580,              371,      412953736.00,        1153736.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017800.00,CE      ,00000233.80,00000337.90,00000233.80,00000316.15,000000000003040,             6880,              172,              149,      124309776.00,        1845776.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017800.00,PE      ,00000052.05,00000092.50,00000035.00,00000040.70,000000000046760,           428240,            10706,             5914,     7650221604.00,       27549604.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017850.00,CE      ,00000204.60,00000285.75,00000196.70,00000284.85,000000000000120,             1000,              025,              025,       18089644.00,         239644.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017850.00,PE      ,00000068.50,00000108.70,00000045.05,00000053.35,000000000002840,            16800,              420,              336,      301210836.00,        1330836.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017900.00,CE      ,00000187.45,00000252.10,00000161.70,00000240.90,000000000013720,           184560,             4614,             3379,     3340287210.00,       36663210.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017900.00,PE      ,00000091.20,00000130.00,00000056.55,00000062.90,000000000038440,           597480,            14937,             7967,    10752576184.00,       57684184.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017950.00,CE      ,00000153.50,00000223.65,00000140.10,00000203.65,000000000003000,            32240,              806,              654,      584173202.00,        5465202.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00017950.00,PE      ,00000116.00,00000152.85,00000070.00,00000077.45,000000000006160,            36000,              900,              620,      650108390.00,        3908390.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018000.00,CE      ,00000177.90,00000185.10,00000114.00,00000168.95,000000000077120,           920600,            23015,            12018,    16699143148.00,      128343148.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018000.00,PE      ,00000149.95,00000181.30,00000087.95,00000096.00,000000000090760,           854000,            21350,            11062,    15488215158.00,      116215158.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018050.00,CE      ,00000125.05,00000156.85,00000095.50,00000139.15,000000000005360,            60920,             1523,              987,     1107001742.00,        7395742.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018050.00,PE      ,00000164.95,00000207.55,00000103.00,00000118.60,000000000003480,            24440,              611,              496,      444840566.00,        3698566.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018100.00,CE      ,00000140.00,00000167.00,00000076.70,00000117.50,000000000067200,           624160,            15604,             9003,    11358492972.00,       61196972.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018100.00,PE      ,00000213.25,00000243.00,00000121.00,00000141.05,000000000034960,           248520,             6213,             4134,     4544501874.00,       46289874.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018150.00,CE      ,00000136.00,00000136.05,00000062.40,00000098.00,000000000016920,            50840,             1271,              724,      926965352.00,        4219352.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018150.00,PE      ,00000200.05,00000274.45,00000164.75,00000167.45,000000000001200,             3920,              098,              057,       72067392.00,         919392.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018200.00,CE      ,00000101.00,00000101.00,00000050.00,00000077.25,000000000089760,           600680,            15017,             7503,    10970857884.00,       38481884.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018200.00,PE      ,00000260.00,00000315.50,00000185.25,00000199.80,000000000012560,            81400,             2035,             1612,     1502179504.00,       20699504.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018250.00,CE      ,00000061.90,00000066.90,00000040.15,00000059.90,000000000008200,            65760,             1644,              926,     1203472020.00,        3352020.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018250.00,PE      ,00000343.90,00000343.90,00000231.35,00000231.35,000000000001880,              240,              006,              004,        4447322.00,          67322.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018300.00,CE      ,00000051.35,00000066.85,00000030.85,00000045.80,000000000081880,           490720,            12268,             5617,     8999217842.00,       19041842.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018300.00,PE      ,00000334.25,00000397.25,00000254.05,00000257.90,000000000011960,            25720,              643,              427,      478776146.00,        8100146.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018350.00,CE      ,00000029.00,00000039.30,00000024.05,00000033.70,000000000005640,            19240,              481,              273,      353637066.00,         583066.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018350.00,PE      ,00000332.35,00000343.00,00000332.35,00000343.00,000000000000320,              280,              007,              002,        5233614.00,          95614.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018400.00,CE      ,00000032.15,00000040.00,00000017.30,00000025.30,000000000062840,           311400,             7785,             3713,     5736874740.00,        7114740.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018400.00,PE      ,00000434.90,00000449.35,00000335.45,00000346.55,000000000000960,             1120,              028,              025,       21065170.00,         457170.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018450.00,CE      ,00000025.40,00000032.40,00000012.00,00000018.00,000000000009600,            30360,              759,              405,      560628442.00,         486442.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018500.00,CE      ,00000020.05,00000022.00,00000009.80,00000012.90,000000000169840,           571520,            14288,             4708,    10580578102.00,        7458102.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018500.00,PE      ,00000533.25,00000566.15,00000423.05,00000451.50,000000000001520,             1160,              029,              017,       22028292.00,         568292.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018550.00,CE      ,00000016.25,00000016.25,00000006.75,00000008.95,000000000027720,            66680,             1667,              689,     1237489578.00,         575578.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018600.00,CE      ,00000006.05,00000012.65,00000005.75,00000006.55,000000000065400,           373640,             9341,             3411,     6952542238.00,        2838238.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018650.00,CE      ,00000010.30,00000010.30,00000004.05,00000004.90,000000000007200,            29920,              748,              318,      558174902.00,         166902.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018700.00,CE      ,00000009.85,00000009.90,00000002.25,00000003.45,000000000045240,           342200,             8555,             3190,     6400819710.00,        1679710.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018750.00,CE      ,00000005.30,00000005.80,00000002.05,00000002.95,000000000001520,            42760,             1069,              487,      801909022.00,         159022.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018800.00,CE      ,00000005.00,00000005.00,00000001.40,00000002.30,000000000079440,           286640,             7166,             2672,     5389769224.00,         937224.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018850.00,CE      ,00000004.55,00000009.90,00000001.10,00000002.65,000000000001440,            26720,              668,              360,      503749836.00,          77836.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018900.00,CE      ,00000003.05,00000003.65,00000001.00,00000001.55,000000000027120,           188520,             4713,             1864,     3563480718.00,         452718.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00018950.00,CE      ,00000002.55,00000003.00,00000001.35,00000001.50,000000000000120,             1960,              049,              037,       37145838.00,           3838.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00019000.00,CE      ,00000003.60,00000003.75,00000001.05,00000001.20,000000000073440,           244320,             6108,             1943,     4642561578.00,         481578.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00019100.00,CE      ,00000001.50,00000002.95,00000000.80,00000001.05,000000000005640,            37840,              946,              546,      722816774.00,          72774.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00019200.00,CE      ,00000002.35,00000002.70,00000000.70,00000000.90,000000000005480,            25440,              636,              445,      488486390.00,          38390.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00019300.00,CE      ,00000001.85,00000003.90,00000000.70,00000000.90,000000000001320,             5760,              144,              054,      111176138.00,           8138.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00019400.00,CE      ,00000002.25,00000002.25,00000000.95,00000000.95,000000000002240,              080,              002,              002,        1552128.00,            128.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00019500.00,CE      ,00000000.75,00000002.15,00000000.65,00000001.00,000000000010080,            19160,              479,              231,      373642050.00,          22050.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00019600.00,CE      ,00000001.15,00000001.15,00000001.15,00000001.15,000000000000080,              040,              001,              001,         784046.00,             46.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00019700.00,CE      ,00000000.50,00000001.80,00000000.50,00000000.60,000000000000560,              520,              013,              011,       10244392.00,            392.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00019800.00,CE      ,00000000.50,00000001.80,00000000.30,00000000.45,000000000000240,             1440,              036,              017,       28513006.00,           1006.00
OPTIDX    ,FINNIFTY  ,25/10/2022,00020000.00,CE      ,00000000.80,00000001.20,00000000.80,00000000.80,000000000008240,             9040,              226,              014,      180808872.00,           8872.00
OPTIDX    ,NIFTY     ,03/11/2022,00014550.00,PE      ,00000002.55,00000002.55,00000002.55,00000002.55,000000000001150,              050,              001,              001,         727627.50,            127.50
OPTIDX    ,NIFTY     ,03/11/2022,00015000.00,PE      ,00000003.00,00000003.00,00000003.00,00000003.00,000000000001000,              850,              017,              003,       12752550.00,           2550.00
OPTIDX    ,NIFTY     ,03/11/2022,00015200.00,PE      ,00000003.20,00000005.55,00000002.25,00000002.25,000000000003950,              650,              013,              011,        9882237.50,           2237.50
OPTIDX    ,NIFTY     ,03/11/2022,00015500.00,CE      ,00001990.00,00001990.00,00001990.00,00001990.00,000000000000450,              050,              001,              001,         874500.00,          99500.00
OPTIDX    ,NIFTY     ,03/11/2022,00015500.00,PE      ,00000004.95,00000005.95,00000002.45,00000003.80,000000000040300,            35700,              714,              527,      553498115.00,         148115.00
OPTIDX    ,NIFTY     ,03/11/2022,00015600.00,PE      ,00000003.80,00000003.80,00000003.75,00000003.75,000000000002450,             1400,              028,              008,       21845295.00,           5295.00
OPTIDX    ,NIFTY     ,03/11/2022,00015700.00,PE      ,00000005.70,00000008.45,00000003.70,00000004.25,000000000008900,             8200,              164,              076,      128779882.50,          39882.50
OPTIDX    ,NIFTY     ,03/11/2022,00015750.00,PE      ,00000006.80,00000006.80,00000005.60,00000005.60,000000000003150,             2550,              051,              002,       40179780.00,          17280.00
OPTIDX    ,NIFTY     ,03/11/2022,00015800.00,PE      ,00000005.90,00000006.85,00000004.15,00000004.65,000000000031700,            29600,              592,              288,      467844500.00,         164500.00
OPTIDX    ,NIFTY     ,03/11/2022,00015850.00,PE      ,00000006.00,00000007.30,00000004.00,00000004.50,000000000003050,             5950,              119,              037,       94340922.50,          33422.50
OPTIDX    ,NIFTY     ,03/11/2022,00015900.00,PE      ,00000004.35,00000009.15,00000004.35,00000005.10,000000000011450,             8500,              170,              088,      135195822.50,          45822.50
OPTIDX    ,NIFTY     ,03/11/2022,00015950.00,PE      ,00000006.00,00000006.95,00000006.00,00000006.95,000000000003700,              300,              006,              002,        4786847.50,           1847.50
OPTIDX    ,NIFTY     ,03/11/2022,00016000.00,CE      ,00001436.85,00001467.00,00001436.85,00001459.60,000000000000200,              250,              005,              004,        4362995.00,         362995.00
OPTIDX    ,NIFTY     ,03/11/2022,00016000.00,PE      ,00000009.10,00000009.40,00000005.20,00000005.55,000000000235250,           284450,             5689,             2815,     4553117607.50,        1917607.50
OPTIDX    ,NIFTY     ,03/11/2022,00016050.00,PE      ,00000006.15,00000007.45,00000006.15,00000006.15,000000000006350,              250,              005,              005,        4014207.50,           1707.50
OPTIDX    ,NIFTY     ,03/11/2022,00016100.00,PE      ,00000009.00,00000009.00,00000005.70,00000006.15,000000000257000,           125950,             2519,             1122,     2028672250.00,         877250.00
OPTIDX    ,NIFTY     ,03/11/2022,00016150.00,PE      ,00000010.00,00000016.10,00000006.80,00000007.20,000000000006500,             1600,              032,              027,       25854892.50,          14892.50
OPTIDX    ,NIFTY     ,03/11/2022,00016200.00,PE      ,00000012.00,00000012.95,00000007.00,00000007.65,000000000146750,           117100,             2342,             1157,     1898083425.00,        1063425.00
OPTIDX    ,NIFTY     ,03/11/2022,00016250.00,PE      ,00000013.45,00000014.90,00000007.60,00000008.35,000000000007050,            14150,              283,              139,      230090820.00,         153320.00
OPTIDX    ,NIFTY     ,03/11/2022,00016300.00,PE      ,00000015.00,00000016.45,00000008.40,00000009.20,000000000101700,           232850,             4657,             2117,     3798204050.00,        2749050.00
OPTIDX    ,NIFTY     ,03/11/2022,00016350.00,PE      ,00000016.15,00000016.85,00000009.25,00000010.30,000000000011100,            10450,              209,              099,      170991287.50,         133787.50
OPTIDX    ,NIFTY     ,03/11/2022,00016400.00,PE      ,00000020.90,00000020.90,00000010.00,00000011.10,000000000249000,           415100,             8302,             3504,     6813829075.00,        6189075.00
OPTIDX    ,NIFTY     ,03/11/2022,00016450.00,PE      ,00000020.35,00000024.05,00000011.30,00000012.65,000000000005850,            16000,              320,              155,      263472730.00,         272730.00
OPTIDX    ,NIFTY     ,03/11/2022,00016500.00,CE      ,00000965.00,00001068.00,00000965.00,00001046.75,000000000023800,             6400,              128,              088,      112101422.50,        6501422.50
OPTIDX    ,NIFTY     ,03/11/2022,00016500.00,PE      ,00000026.25,00000026.80,00000012.60,00000014.65,000000000341600,           690000,            13800,             5898,    11398672670.00,       13672670.00
OPTIDX    ,NIFTY     ,03/11/2022,00016550.00,PE      ,00000028.30,00000028.55,00000014.75,00000016.80,000000000010500,            25300,              506,              261,      419222557.50,         507557.50
OPTIDX    ,NIFTY     ,03/11/2022,00016600.00,PE      ,00000032.60,00000034.50,00000016.70,00000018.70,000000000131600,           417800,             8356,             4349,     6945877457.50,       10397457.50
